Graph contains edges with negative weight.
Shortest paths lengths:
0 - 1: 592
0 - 2: 652
0 - 3: 607
0 - 4: 647
0 - 5: 477
0 - 6: 609
0 - 7: 587
0 - 8: 680
0 - 9: 694
0 - 10: 579
0 - 11: 591
0 - 12: 328
0 - 13: 708
0 - 14: 479
0 - 15: 652
0 - 16: 540
0 - 17: 353
0 - 18: 540
0 - 19: 546
0 - 20: 391
0 - 21: 532
0 - 22: 609
0 - 23: 626
0 - 24: 659
0 - 25: 692
0 - 26: 487
0 - 27: 601
0 - 28: 626
0 - 29: 656
0 - 30: 559
0 - 31: 451
0 - 32: 430
0 - 33: 373
0 - 34: 567
0 - 35: 567
0 - 36: 468
0 - 37: 634
0 - 38: 609
0 - 39: 419
0 - 40: 755
0 - 41: 634
0 - 42: 596
0 - 43: 607
0 - 44: 634
0 - 45: 680
0 - 46: 677
0 - 47: 444
0 - 48: 475
0 - 49: 370
0 - 50: 627
0 - 51: 689
0 - 52: 405
0 - 53: 562
0 - 54: 602
0 - 55: 564
0 - 56: 695
0 - 57: 493
0 - 58: 671
0 - 59: 517
0 - 60: 594
0 - 61: 423
0 - 62: 689
0 - 63: 639
0 - 64: 429
0 - 65: 670
0 - 66: 623
0 - 67: 577
0 - 68: 576
0 - 69: 423
0 - 70: 439
0 - 71: 673
0 - 72: 455
0 - 73: 701
0 - 74: 632
0 - 75: 696
0 - 76: 510
0 - 77: 548
0 - 78: 388
0 - 79: 568
0 - 80: 495
0 - 81: 490
0 - 82: 556
0 - 83: 621
0 - 84: 634
0 - 85: 565
0 - 86: 633
0 - 87: 687
0 - 88: 482
0 - 89: 466
0 - 90: 574
0 - 91: 561
0 - 92: 632
0 - 93: 450
0 - 94: 316
0 - 95: 575
0 - 96: 596
0 - 97: 287
0 - 98: 665
0 - 99: 495
0 - 100: 529
0 - 101: 591
0 - 102: 684
0 - 103: 486
0 - 104: 668
0 - 105: 611
0 - 106: 731
0 - 107: 713
0 - 108: 710
0 - 109: 681
0 - 110: 491
0 - 111: 630
0 - 112: 734
0 - 113: 663
0 - 114: 522
0 - 115: 676
0 - 116: 623
0 - 117: 491
0 - 118: 599
0 - 119: 699
0 - 120: 632
0 - 121: 453
0 - 122: 623
0 - 123: 645
0 - 124: 537
0 - 125: 382
0 - 126: 623
0 - 127: 670
0 - 128: 738
0 - 129: 660
0 - 130: 676
0 - 131: 634
0 - 132: 548
0 - 133: 563
0 - 134: 504
0 - 135: 504
0 - 136: 615
0 - 137: 590
0 - 138: 492
0 - 139: 462
0 - 140: 602
0 - 141: 497
0 - 142: 728
0 - 143: 694
0 - 144: 597
0 - 145: 624
0 - 146: 538
